iShares Core S&P 500 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,108,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BLK","BLACKROCK INC","Financials","Equity","1,994,538,320.00","0.24","1,994,538,320.00","1,868,000.00","1,067.74","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,958,759,200.86","0.24","1,958,759,200.86","22,511,886.00","87.01","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,949,157,184.40","0.24","1,949,157,184.40","73,608,655.00","26.48","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,935,384,247.50","0.24","1,935,384,247.50","21,624,405.00","89.50","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","1,923,634,207.65","0.24","1,923,634,207.65","9,033,267.00","212.95","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","1,894,985,442.00","0.23","1,894,985,442.00","13,368,504.00","141.75","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,894,721,750.42","0.23","1,894,721,750.42","3,263,723.00","580.54","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","1,843,624,051.20","0.23","1,843,624,051.20","10,107,588.00","182.40","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,822,149,016.00","0.22","1,822,149,016.00","15,861,325.00","114.88","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1,786,914,568.80","0.22","1,786,914,568.80","10,432,710.00","171.28","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,775,975,265.08","0.22","1,775,975,265.08","8,219,444.00","216.07","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","1,750,247,979.75","0.21","1,750,247,979.75","3,508,425.00","498.87","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,712,366,950.05","0.21","1,712,366,950.05","12,034,345.00","142.29","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,698,251,829.12","0.21","1,698,251,829.12","3,961,584.00","428.68","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1,683,939,306.17","0.21","1,683,939,306.17","4,952,617.00","340.01","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,676,691,887.52","0.21","1,676,691,887.52","7,262,179.00","230.88","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","1,650,524,938.36","0.20","1,650,524,938.36","3,263,713.00","505.72","United States","NASDAQ","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,603,360,730.79","0.20","1,603,360,730.79","14,127,771.00","113.49","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,558,575,404.08","0.19","1,558,575,404.08","8,092,712.00","192.59","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,537,800,281.42","0.19","1,537,800,281.42","14,749,667.00","104.26","United States","NASDAQ","USD","1.00","USD","-"
