iShares Russell 2000 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"278,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NUVL","NUVALENT INC CLASS A","Health Care","Equity","120,376,217.60","0.15","120,376,217.60","1,175,549.00","102.40","United States","NASDAQ","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","120,170,866.05","0.15","120,170,866.05","3,000,521.00","40.05","United States","NASDAQ","USD","1.00","USD","-"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energy","Equity","119,957,002.50","0.15","119,957,002.50","4,261,350.00","28.15","United States","NYSE","USD","1.00","USD","-"
"RYTM","RHYTHM PHARMACEUTICALS INC","Health Care","Equity","119,813,855.94","0.15","119,813,855.94","1,245,078.00","96.23","United States","NASDAQ","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","119,638,559.01","0.15","119,638,559.01","1,855,149.00","64.49","United States","NASDAQ","USD","1.00","USD","-"
"KNF","KNIFE RIVER CORP","Materials","Equity","119,568,821.34","0.15","119,568,821.34","1,347,558.00","88.73","United States","NYSE","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","119,241,772.76","0.15","119,241,772.76","4,442,689.00","26.84","United States","NYSE","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","118,645,478.60","0.15","118,645,478.60","546,955.00","216.92","United States","NYSE","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","118,499,776.02","0.15","118,499,776.02","725,346.00","163.37","United States","NYSE","USD","1.00","USD","-"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","Information Technology","Equity","118,082,105.70","0.15","118,082,105.70","1,203,078.00","98.15","United States","NASDAQ","USD","1.00","USD","-"
"LBRT","LIBERTY ENERGY INC CLASS A","Energy","Equity","117,945,146.88","0.15","117,945,146.88","3,723,016.00","31.68","United States","NYSE","USD","1.00","USD","-"
"SR","SPIRE INC","Utilities","Equity","117,868,025.52","0.15","117,868,025.52","1,378,251.00","85.52","United States","NYSE","USD","1.00","USD","-"
"LGN","LEGENCE CORP CLASS A","Industrials","Equity","117,770,076.48","0.15","117,770,076.48","1,208,642.00","97.44","United States","NASDAQ","USD","1.00","USD","-"
"SXT","SENSIENT TECHNOLOGIES CORP","Materials","Equity","117,422,440.20","0.15","117,422,440.20","996,372.00","117.85","United States","NYSE","USD","1.00","USD","-"
"COGT","COGENT BIOSCIENCES INC","Health Care","Equity","117,350,288.16","0.15","117,350,288.16","3,373,104.00","34.79","United States","NASDAQ","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","116,720,567.28","0.15","116,720,567.28","3,249,459.00","35.92","United States","NYSE","USD","1.00","USD","-"
"INDV","INDIVIOR PHARMACEUTICALS INC","Health Care","Equity","116,712,604.80","0.15","116,712,604.80","2,947,288.00","39.60","United States","NASDAQ","USD","1.00","USD","-"
"ACLS","AXCELIS TECHNOLOGIES INC","Information Technology","Equity","116,442,477.92","0.15","116,442,477.92","733,912.00","158.66","United States","NASDAQ","USD","1.00","USD","-"
"FTDR","FRONTDOOR INC","Consumer Discretionary","Equity","116,241,616.08","0.15","116,241,616.08","1,711,449.00","67.92","United States","NASDAQ","USD","1.00","USD","-"
"NOVT","NOVANTA INC","Information Technology","Equity","115,763,182.28","0.15","115,763,182.28","849,451.00","136.28","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE INC","Information Technology","Equity","115,495,463.55","0.15","115,495,463.55","2,475,787.00","46.65","United States","NASDAQ","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","115,062,125.64","0.15","115,062,125.64","1,372,074.00","83.86","United States","NASDAQ","USD","1.00","USD","-"
"OUT","OUTFRONT MEDIA INC","Real Estate","Equity","114,970,210.01","0.15","114,970,210.01","3,504,121.00","32.81","United States","NYSE","USD","1.00","USD","-"
